dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	successive_ss_avg	successive_ss_std	piA_avg	piA_std	piB_avg	piB_std	pearson_r_pi	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	pearson_r_theta	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	minDivAB_avg	minDivAB_std	maxDivAB_avg	maxDivAB_std	Gmin_avg	Gmin_std	Gmax_avg	Gmax_std	FST_avg	FST_std	pearson_r_divAB_netDivAB	pearson_r_divAB_FST	pearson_r_netDivAB_FST	ss_sf	ss_noSf	noSs_sf	noSs_noSf
202	271.26000	28.93359	7.05000	6.00062	129.37000	19.26533	120.06000	17.98434	14.78000	8.68744	1.34000	1.02196	0.04026	0.00780	0.03726	0.00732	0.24475	0.04063	0.00658	0.03801	0.00622	0.28425	-0.04190	0.40278	-0.08793	0.40315	0.07106	0.01118	0.03230	0.00903	0.05314	0.00973	0.08974	0.01351	0.74666	0.05471	1.26630	0.07498	0.29763	0.06295	0.84659	0.47674	0.86529	93.00000	7.00000	0.00000	0.00000
203	238.33000	22.80923	14.65000	7.05177	116.80000	18.38532	103.49000	17.09649	3.39000	4.09852	0.28000	0.54918	0.03281	0.00627	0.02948	0.00637	0.08416	0.03388	0.00547	0.03013	0.00532	0.00456	-0.13096	0.37822	-0.09037	0.46102	0.07068	0.00806	0.03953	0.00736	0.05664	0.00750	0.08575	0.01045	0.80106	0.04977	1.21311	0.04711	0.39445	0.06127	0.82173	0.34433	0.81428	75.00000	0.00000	25.00000	0.00000
204	204.83000	21.28946	33.57000	11.44225	37.74000	11.76488	133.32000	20.20192	0.20000	0.76158	0.01000	0.09950	0.01030	0.00377	0.03673	0.00670	0.03457	0.01069	0.00340	0.03764	0.00574	-0.09242	-0.15000	0.69519	-0.10328	0.37082	0.07806	0.01183	0.05454	0.01154	0.06586	0.01128	0.09076	0.01337	0.84275	0.04552	1.16420	0.04694	0.54079	0.06617	0.94452	0.53484	0.77921	8.00000	0.00000	92.00000	0.00000
205	191.76000	23.08988	2.83000	3.52436	76.59000	12.75782	98.76000	16.81078	13.58000	8.14884	1.14000	0.87201	0.02518	0.00538	0.03005	0.00633	0.24927	0.02542	0.00460	0.03167	0.00568	0.26483	-0.04299	0.43438	-0.21726	0.36370	0.04632	0.00738	0.01871	0.00568	0.03122	0.00658	0.06198	0.00946	0.67218	0.07561	1.34315	0.10077	0.25686	0.06481	0.77787	0.40634	0.88286	76.00000	23.00000	1.00000	0.00000
206	308.15000	30.92066	85.51000	16.92660	16.99000	5.97243	205.65000	31.49933	0.00000	0.00000	0.00000	0.00000	0.00485	0.00207	0.05790	0.00996	-0.06369	0.00479	0.00168	0.05797	0.00888	-0.15374	0.03136	0.79251	-0.00803	0.31096	0.14465	0.01678	0.11327	0.01636	0.13194	0.01631	0.15788	0.01752	0.91160	0.02474	1.09256	0.03146	0.64821	0.05047	0.95438	0.44142	0.68791	0.00000	0.00000	100.00000	0.00000
207	261.83000	26.69759	54.95000	16.29379	185.00000	28.26022	21.88000	6.79747	0.00000	0.00000	0.00000	0.00000	0.05293	0.01042	0.00606	0.00242	0.09924	0.05215	0.00797	0.00617	0.00192	0.16257	0.04563	0.35900	-0.11037	0.73170	0.11243	0.01640	0.08294	0.01620	0.09767	0.01750	0.12789	0.01696	0.86528	0.05227	1.14093	0.05337	0.58836	0.06822	0.94385	0.50273	0.75712	0.00000	0.00000	100.00000	0.00000
208	249.16000	24.61330	58.18000	11.95858	170.00000	22.49355	20.98000	6.83371	0.00000	0.00000	0.00000	0.00000	0.04677	0.00754	0.00581	0.00222	0.07152	0.04792	0.00634	0.00591	0.00193	0.15496	-0.10588	0.33267	-0.08907	0.66601	0.10667	0.01363	0.08038	0.01268	0.09526	0.01365	0.11873	0.01456	0.89191	0.03530	1.11427	0.03438	0.60932	0.05220	0.95625	0.42838	0.67220	0.00000	0.00000	100.00000	0.00000
209	270.93000	31.00686	8.37000	7.47884	71.39000	15.46214	170.41000	25.93110	20.76000	11.94665	1.91000	1.33488	0.02819	0.00893	0.05259	0.00936	0.17495	0.02597	0.00651	0.05389	0.00805	0.18846	0.30246	0.61403	-0.10270	0.35686	0.07546	0.01196	0.03506	0.00983	0.05316	0.01099	0.09829	0.01451	0.70248	0.07799	1.30757	0.08435	0.30744	0.07103	0.81034	0.37657	0.83934	89.00000	10.00000	1.00000	0.00000
210	300.14000	28.35702	84.95000	16.88513	22.10000	8.13449	193.09000	25.96193	0.00000	0.00000	0.00000	0.00000	0.00618	0.00271	0.05409	0.00991	0.00965	0.00623	0.00229	0.05443	0.00732	-0.03314	-0.05314	0.83538	-0.03952	0.38040	0.14233	0.01875	0.11220	0.01819	0.12925	0.01810	0.15599	0.01887	0.90739	0.02830	1.09797	0.03339	0.65447	0.05418	0.96160	0.49081	0.70886	0.00000	0.00000	100.00000	0.00000
211	336.19000	30.38740	27.41000	10.52435	186.16000	25.63736	116.35000	18.99914	6.27000	5.68833	0.56000	0.72553	0.05364	0.00916	0.03518	0.00777	0.13348	0.05424	0.00765	0.03456	0.00617	0.08814	-0.05467	0.30904	0.06618	0.45744	0.10932	0.01245	0.06491	0.01146	0.09071	0.01157	0.12854	0.01431	0.82968	0.04274	1.17696	0.04673	0.42810	0.05827	0.86030	0.39299	0.80314	87.00000	0.00000	13.00000	0.00000
