dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	successive_ss_avg	successive_ss_std	piA_avg	piA_std	piB_avg	piB_std	pearson_r_pi	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	pearson_r_theta	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	minDivAB_avg	minDivAB_std	maxDivAB_avg	maxDivAB_std	Gmin_avg	Gmin_std	Gmax_avg	Gmax_std	FST_avg	FST_std	pearson_r_divAB_netDivAB	pearson_r_divAB_FST	pearson_r_netDivAB_FST	ss_sf	ss_noSf	noSs_sf	noSs_noSf
588	175.28000	20.85429	0.68000	1.66060	81.26000	14.16801	75.41000	14.14362	17.93000	10.11460	1.53000	1.14416	0.02634	0.00652	0.02576	0.00582	0.34598	0.02796	0.00521	0.02631	0.00473	0.23566	-0.26243	0.43895	-0.09362	0.48236	0.03843	0.00698	0.01237	0.00426	0.02232	0.00530	0.05487	0.00959	0.57995	0.08062	1.43538	0.12085	0.19587	0.05672	0.69302	0.25821	0.86497	27.00000	73.00000	0.00000	0.00000
589	252.23000	22.46725	2.79000	3.62297	128.34000	18.97431	105.66000	15.75641	15.44000	7.68807	1.30000	0.87750	0.03802	0.00565	0.03261	0.00674	-0.01121	0.04053	0.00566	0.03413	0.00518	-0.05120	-0.24472	0.35704	-0.19691	0.45637	0.05741	0.00877	0.02209	0.00708	0.03995	0.00810	0.07591	0.01035	0.69268	0.06069	1.32820	0.09392	0.24014	0.05743	0.86898	0.61521	0.91731	69.00000	31.00000	0.00000	0.00000
590	262.42000	28.26842	4.32000	5.24572	107.26000	22.02527	124.26000	19.45437	26.58000	11.67748	2.26000	1.11014	0.03902	0.00926	0.04264	0.00729	0.14827	0.03773	0.00725	0.04252	0.00628	0.08963	0.12221	0.44670	0.01101	0.37693	0.07067	0.01163	0.02984	0.00927	0.04834	0.01050	0.09398	0.01409	0.68047	0.07003	1.33528	0.08962	0.27050	0.06526	0.84148	0.49686	0.88224	78.00000	22.00000	0.00000	0.00000
591	211.66000	19.87069	17.09000	6.62585	73.71000	13.92860	120.27000	18.05428	0.59000	1.07791	0.03000	0.17059	0.02072	0.00511	0.03262	0.00580	-0.09438	0.02094	0.00403	0.03407	0.00509	-0.08897	-0.06606	0.41943	-0.17772	0.36784	0.06419	0.00716	0.03752	0.00643	0.05194	0.00751	0.07692	0.00789	0.80716	0.04949	1.20066	0.05571	0.41890	0.05530	0.85880	0.36792	0.78937	32.00000	0.00000	68.00000	0.00000
592	209.42000	21.12259	4.67000	3.32282	123.38000	16.52439	79.61000	14.55740	1.76000	1.93453	0.09000	0.28618	0.03109	0.00446	0.02199	0.00517	0.04343	0.03527	0.00473	0.02294	0.00425	-0.00344	-0.48228	0.28497	-0.18730	0.41824	0.04717	0.00554	0.02063	0.00426	0.03482	0.00583	0.06068	0.00658	0.73518	0.06035	1.28999	0.07702	0.28492	0.04948	0.77741	0.33576	0.85057	59.00000	7.00000	33.00000	1.00000
593	294.49000	22.40826	26.46000	7.86438	91.86000	15.01001	176.03000	20.65742	0.14000	0.44766	0.00000	0.00000	0.02536	0.00524	0.04803	0.00633	-0.01341	0.02593	0.00425	0.04966	0.00584	0.03443	-0.09925	0.42676	-0.12797	0.33339	0.09062	0.00803	0.05392	0.00797	0.07621	0.00869	0.10558	0.00807	0.83990	0.03945	1.16695	0.04206	0.42930	0.04924	0.87004	0.47546	0.84566	11.00000	0.00000	89.00000	0.00000
594	94.05000	19.44139	7.87000	8.12731	25.58000	10.10463	54.85000	18.30157	5.75000	6.89837	0.95000	1.66358	0.00996	0.00570	0.01865	0.00734	0.25201	0.00883	0.00387	0.01708	0.00541	0.15289	0.35416	0.92909	0.30226	0.66253	0.03468	0.00907	0.02037	0.00857	0.02231	0.00932	0.04745	0.01059	0.63263	0.16760	1.39635	0.21519	0.42238	0.14452	0.82887	0.36807	0.81007	60.00000	14.00000	26.00000	0.00000
595	161.60000	19.52178	88.99000	15.39902	61.31000	14.16665	11.30000	4.78644	0.00000	0.00000	0.00000	0.00000	0.01741	0.00506	0.00329	0.00165	0.03859	0.01728	0.00399	0.00319	0.00135	-0.06582	-0.00111	0.56056	0.10373	0.85929	0.10853	0.01512	0.09818	0.01473	0.10186	0.01501	0.11575	0.01520	0.93767	0.02373	1.06811	0.02848	0.82868	0.04169	0.98406	0.30081	0.46391	0.00000	0.00000	100.00000	0.00000
596	196.96000	19.36488	0.75000	2.33827	70.06000	11.14973	98.98000	14.45751	27.17000	12.88957	2.06000	1.32529	0.02711	0.00599	0.03300	0.00708	0.42905	0.02741	0.00443	0.03556	0.00555	0.34683	-0.06541	0.41186	-0.31443	0.42147	0.04289	0.00804	0.01283	0.00547	0.02433	0.00615	0.06244	0.01063	0.56724	0.09290	1.46658	0.14620	0.17799	0.06262	0.72731	0.42653	0.92223	22.00000	78.00000	0.00000	0.00000
597	164.39000	24.09933	78.53000	21.06583	20.20000	6.69179	65.66000	17.11036	0.00000	0.00000	0.00000	0.00000	0.00569	0.00240	0.01889	0.00680	-0.19067	0.00569	0.00189	0.01851	0.00482	-0.17810	-0.04524	0.72325	0.04132	0.64397	0.10312	0.02134	0.09083	0.02113	0.09465	0.02096	0.11211	0.02170	0.91550	0.03977	1.09098	0.04055	0.78643	0.06023	0.98737	0.54215	0.66476	0.00000	0.00000	100.00000	0.00000
598	147.52000	16.98910	26.47000	8.52579	50.44000	12.55414	70.36000	15.04428	0.25000	0.66895	0.00000	0.00000	0.01472	0.00440	0.01943	0.00494	-0.04652	0.01429	0.00357	0.01990	0.00430	-0.07876	0.09623	0.53207	-0.09968	0.52788	0.05882	0.00869	0.04174	0.00828	0.04905	0.00889	0.06924	0.00916	0.83086	0.05090	1.18124	0.06269	0.55490	0.06837	0.92861	0.43069	0.73170	14.00000	0.00000	86.00000	0.00000
599	174.90000	19.84414	0.06000	0.23749	77.64000	15.46837	57.54000	9.85233	39.66000	14.85747	3.04000	1.66685	0.03229	0.00613	0.02869	0.00665	0.53427	0.03306	0.00529	0.02740	0.00487	0.42871	-0.09527	0.41362	0.17278	0.49681	0.03976	0.00766	0.00927	0.00418	0.01817	0.00617	0.06183	0.01077	0.45348	0.10779	1.56785	0.15543	0.13358	0.04868	0.69935	0.36853	0.91306	6.00000	94.00000	0.00000	0.00000
600	348.03000	34.33845	20.10000	8.48116	158.45000	23.70881	166.74000	24.28729	2.74000	2.82708	0.14000	0.34699	0.04379	0.00692	0.04598	0.00816	0.15792	0.04543	0.00682	0.04777	0.00714	0.14664	-0.14172	0.34643	-0.15992	0.34523	0.09964	0.00930	0.05475	0.00837	0.08275	0.00925	0.11755	0.01057	0.82981	0.03671	1.18088	0.04194	0.38536	0.05100	0.79332	0.26946	0.79743	78.00000	0.00000	22.00000	0.00000
601	242.37000	26.19529	22.67000	7.99006	77.03000	13.25629	142.07000	23.76058	0.60000	0.98995	0.05000	0.21794	0.02173	0.00419	0.03810	0.00753	-0.05476	0.02188	0.00374	0.04021	0.00675	0.02611	-0.02111	0.43177	-0.22188	0.33978	0.07662	0.00795	0.04671	0.00748	0.06309	0.00807	0.09017	0.00912	0.82237	0.04465	1.17810	0.05002	0.44466	0.05683	0.85300	0.36124	0.79263	33.00000	0.00000	67.00000	0.00000
602	260.47000	25.08922	49.95000	11.68792	89.76000	17.72801	120.36000	18.93543	0.40000	0.96954	0.02000	0.14000	0.02520	0.00644	0.03429	0.00653	-0.02693	0.02541	0.00508	0.03404	0.00536	0.05507	-0.04877	0.49905	0.03192	0.47349	0.10637	0.01213	0.07662	0.01196	0.09251	0.01248	0.12069	0.01255	0.86810	0.03565	1.13649	0.03622	0.56799	0.05743	0.92957	0.48212	0.76901	22.00000	0.00000	78.00000	0.00000
603	93.45000	14.06298	0.93000	2.07969	66.95000	14.15300	13.51000	5.49817	12.06000	10.29934	1.45000	1.58351	0.02028	0.00503	0.00864	0.00529	0.31569	0.02227	0.00391	0.00721	0.00355	0.22331	-0.39000	0.46615	0.59849	0.98111	0.02276	0.00601	0.00830	0.00427	0.00871	0.00430	0.03639	0.00816	0.37838	0.14195	1.63086	0.23371	0.22581	0.10122	0.71838	0.35388	0.88729	23.00000	63.00000	11.00000	3.00000
604	205.91000	25.98503	4.68000	5.02569	42.66000	11.84417	139.25000	24.97974	19.32000	14.31285	2.08000	1.84759	0.01974	0.00892	0.04372	0.00960	0.11391	0.01747	0.00626	0.04470	0.00710	0.13351	0.41805	0.78570	-0.11621	0.39578	0.05557	0.01124	0.02384	0.00833	0.03361	0.00902	0.07758	0.01512	0.60554	0.10766	1.40364	0.12393	0.27746	0.07811	0.78970	0.33612	0.83116	73.00000	21.00000	6.00000	0.00000
605	284.01000	24.32714	22.50000	8.49294	166.31000	22.69612	93.85000	13.63112	1.35000	1.73421	0.12000	0.38158	0.04447	0.00714	0.02653	0.00545	-0.01173	0.04726	0.00647	0.02683	0.00400	-0.03467	-0.24738	0.28565	-0.05521	0.50299	0.08454	0.00972	0.04903	0.00904	0.06996	0.00975	0.09968	0.01060	0.82607	0.04135	1.18104	0.04331	0.41361	0.05481	0.88901	0.49317	0.83370	52.00000	0.00000	48.00000	0.00000
606	387.50000	34.77859	23.77000	12.96291	157.86000	24.41681	191.31000	26.73713	14.56000	9.45550	1.50000	1.36748	0.05037	0.01122	0.05858	0.01044	0.08276	0.04860	0.00805	0.05803	0.00838	0.14779	0.12674	0.47401	0.03012	0.33760	0.12028	0.01487	0.06581	0.01421	0.09802	0.01413	0.14385	0.01784	0.81412	0.04678	1.19732	0.05868	0.38178	0.06507	0.85073	0.46955	0.86122	98.00000	0.00000	2.00000	0.00000
607	328.91000	33.24999	36.06000	14.45809	134.19000	25.34431	152.93000	27.23059	5.73000	5.45134	0.66000	0.97180	0.03978	0.00972	0.04538	0.00970	-0.10069	0.03944	0.00767	0.04472	0.00818	-0.00283	0.01123	0.48831	0.05534	0.41965	0.11813	0.01621	0.07555	0.01521	0.09919	0.01548	0.13760	0.01737	0.83816	0.03954	1.16749	0.04403	0.47453	0.06563	0.91608	0.51399	0.81168	88.00000	0.00000	12.00000	0.00000
608	226.10000	22.04972	47.52000	8.45160	163.25000	20.83957	15.33000	4.70968	0.00000	0.00000	0.00000	0.00000	0.04336	0.00647	0.00449	0.00186	0.11075	0.04602	0.00587	0.00432	0.00133	0.05662	-0.23818	0.32489	0.09965	0.83067	0.08951	0.00949	0.06559	0.00895	0.07891	0.00953	0.10054	0.01007	0.88080	0.03332	1.12464	0.03554	0.58375	0.05003	0.93116	0.39988	0.70385	0.00000	0.00000	100.00000	0.00000
609	122.99000	17.30404	0.00000	0.00000	41.13000	8.17026	43.92000	9.02184	37.94000	12.12091	3.17000	1.57515	0.01934	0.00487	0.01954	0.00505	0.80802	0.02229	0.00422	0.02307	0.00422	0.66514	-0.55191	0.46987	-0.65044	0.46270	0.02097	0.00520	0.00153	0.00121	0.00386	0.00185	0.03869	0.00925	0.18902	0.08450	1.85871	0.19664	0.03798	0.02562	0.49634	0.23611	0.94390	0.00000	100.00000	0.00000	0.00000
610	159.17000	23.21166	96.14000	18.78138	60.78000	15.52841	2.25000	1.80208	0.00000	0.00000	0.00000	0.00000	0.01726	0.00542	0.00061	0.00060	-0.00558	0.01713	0.00438	0.00063	0.00051	-0.10417	0.00245	0.57603	-0.11241	0.81244	0.11325	0.01920	0.10432	0.01888	0.10779	0.01875	0.11913	0.01921	0.95125	0.01940	1.05372	0.02500	0.85533	0.04177	0.98989	0.34510	0.47282	0.00000	0.00000	100.00000	0.00000
611	219.73000	20.43324	57.92000	8.73119	1.07000	0.97216	160.74000	21.31461	0.00000	0.00000	0.00000	0.00000	0.00030	0.00033	0.04363	0.00688	0.02409	0.00030	0.00027	0.04531	0.00601	0.08292	-0.04758	0.82845	-0.15420	0.35344	0.09627	0.00859	0.07430	0.00885	0.08809	0.00860	0.10483	0.00911	0.91475	0.02672	1.08945	0.02702	0.63407	0.05139	0.92234	0.39775	0.71966	0.00000	0.00000	100.00000	0.00000
612	270.55000	24.65213	35.87000	9.88297	169.89000	23.34776	64.55000	14.09778	0.24000	0.68000	0.02000	0.14000	0.04588	0.00683	0.01849	0.00500	-0.08518	0.04795	0.00663	0.01826	0.00400	-0.01230	-0.17565	0.31111	0.02531	0.52517	0.09397	0.00973	0.06178	0.00974	0.07991	0.01035	0.10844	0.00971	0.84864	0.03874	1.15637	0.04372	0.49510	0.05610	0.91328	0.51174	0.81516	16.00000	0.00000	84.00000	0.00000
613	164.52000	26.03170	35.45000	16.32138	101.55000	25.34694	26.47000	10.76518	1.05000	3.09314	0.16000	0.75789	0.03178	0.01012	0.00816	0.00475	0.07295	0.02892	0.00721	0.00776	0.00352	-0.02967	0.35623	0.62143	0.07833	0.80691	0.07685	0.01766	0.05688	0.01663	0.06284	0.01706	0.09149	0.01909	0.81307	0.08340	1.20054	0.10889	0.58940	0.10014	0.94568	0.43582	0.69732	23.00000	0.00000	77.00000	0.00000
614	339.38000	33.70572	32.87000	13.49789	186.67000	28.84304	112.62000	24.50011	7.22000	6.30489	0.71000	0.88651	0.05455	0.01003	0.03418	0.01049	0.12303	0.05465	0.00860	0.03378	0.00794	0.03694	-0.01105	0.38467	-0.00474	0.48883	0.11614	0.01465	0.07177	0.01374	0.09684	0.01367	0.13706	0.01751	0.83375	0.04983	1.18139	0.05772	0.45362	0.06854	0.85513	0.34014	0.77425	87.00000	0.00000	13.00000	0.00000
615	144.01000	14.79222	0.00000	0.00000	61.54000	9.21566	53.65000	7.68684	28.82000	10.61638	2.37000	1.44675	0.02144	0.00475	0.01991	0.00474	0.73174	0.02547	0.00367	0.02325	0.00361	0.56274	-0.67134	0.43337	-0.61390	0.45704	0.02388	0.00510	0.00321	0.00200	0.00878	0.00302	0.03947	0.00836	0.36620	0.09569	1.66235	0.18575	0.07347	0.04206	0.51645	0.19655	0.92932	0.00000	100.00000	0.00000	0.00000
616	324.38000	31.41617	46.94000	9.72915	187.87000	22.85505	89.08000	18.95399	0.49000	1.12690	0.03000	0.17059	0.05152	0.00742	0.02568	0.00709	0.20214	0.05309	0.00647	0.02525	0.00544	0.21835	-0.12429	0.29185	0.04413	0.49518	0.11781	0.01232	0.07922	0.01077	0.10268	0.01162	0.13279	0.01348	0.87123	0.03227	1.12795	0.03308	0.51294	0.04881	0.88976	0.26576	0.67412	24.00000	0.00000	76.00000	0.00000
617	197.28000	25.90640	0.62000	2.71581	103.69000	20.58868	52.28000	13.34172	40.69000	16.75333	3.12000	1.39485	0.03980	0.00857	0.02825	0.00827	0.38365	0.04070	0.00695	0.02621	0.00620	0.33538	-0.11129	0.39040	0.28994	0.54380	0.04834	0.01028	0.01432	0.00728	0.02364	0.00792	0.07178	0.01301	0.48762	0.10405	1.50006	0.15416	0.17569	0.07136	0.73275	0.41306	0.90844	17.00000	83.00000	0.00000	0.00000
618	240.04000	29.07917	0.02000	0.19900	93.21000	23.21865	37.11000	12.10941	109.70000	26.18836	7.71000	2.77955	0.05788	0.00896	0.04780	0.01066	0.51702	0.05719	0.00764	0.04138	0.00858	0.51322	0.05123	0.34124	0.64526	0.47063	0.06089	0.00915	0.00804	0.00413	0.01124	0.00718	0.09820	0.01379	0.18636	0.11434	1.62273	0.15550	0.07324	0.03864	0.36555	0.07154	0.94182	1.00000	99.00000	0.00000	0.00000
619	54.71000	10.50266	0.00000	0.00000	11.99000	4.24145	31.68000	7.09208	11.04000	5.80848	1.46000	1.11732	0.00679	0.00265	0.00899	0.00317	0.59705	0.00649	0.00212	0.01204	0.00272	0.52332	0.13471	0.64997	-1.06523	0.54052	0.00937	0.00305	0.00148	0.00107	0.00128	0.00118	0.01835	0.00550	0.13043	0.11338	1.99832	0.32399	0.08736	0.05183	0.56734	0.17125	0.87610	0.00000	99.00000	0.00000	1.00000
620	242.52000	28.14409	54.31000	15.10741	187.59000	27.49803	0.62000	0.83403	0.00000	0.00000	0.00000	0.00000	0.05276	0.00939	0.00018	0.00028	-0.10614	0.05288	0.00775	0.00017	0.00024	-0.19080	-0.01474	0.38047	-0.00942	0.63696	0.10567	0.01623	0.07920	0.01601	0.09261	0.01609	0.11863	0.01744	0.87494	0.04795	1.12486	0.04960	0.60221	0.06874	0.95786	0.56730	0.77678	0.00000	0.00000	100.00000	0.00000
621	59.87000	11.58158	0.00000	0.00000	18.37000	5.72653	27.48000	6.93611	14.02000	6.87165	1.89000	1.52247	0.00856	0.00319	0.00936	0.00294	0.67325	0.00913	0.00271	0.01170	0.00263	0.55891	-0.28010	0.58505	-0.82663	0.49974	0.01015	0.00331	0.00119	0.00097	0.00140	0.00108	0.02023	0.00586	0.13945	0.09487	2.02781	0.26807	0.06279	0.04024	0.63328	0.19414	0.85027	0.00000	100.00000	0.00000	0.00000
622	356.56000	29.81185	33.22000	10.13467	185.11000	24.65477	136.59000	22.65264	1.64000	1.86290	0.15000	0.45552	0.05091	0.00823	0.03827	0.00733	-0.07205	0.05264	0.00709	0.03896	0.00646	0.00064	-0.13917	0.32197	-0.07453	0.38640	0.11379	0.01098	0.06921	0.01029	0.09649	0.01111	0.13107	0.01218	0.84725	0.04028	1.15295	0.04166	0.44286	0.04923	0.87729	0.41391	0.79819	63.00000	0.00000	37.00000	0.00000
623	170.04000	18.32753	70.55000	12.03360	79.60000	16.53118	19.89000	6.86133	0.00000	0.00000	0.00000	0.00000	0.02209	0.00566	0.00570	0.00241	-0.04591	0.02244	0.00466	0.00561	0.00193	0.00067	-0.08545	0.47940	0.03314	0.76881	0.09693	0.01172	0.08303	0.01174	0.08892	0.01164	0.10562	0.01181	0.91651	0.02393	1.09142	0.03501	0.75289	0.05129	0.96677	0.41094	0.62852	0.00000	0.00000	100.00000	0.00000
624	403.20000	26.50094	51.23000	15.92913	168.36000	23.75901	181.14000	25.30060	2.47000	2.98146	0.36000	0.84285	0.04796	0.00889	0.05171	0.00949	-0.12641	0.04815	0.00686	0.05175	0.00735	-0.14428	-0.02231	0.41448	-0.01440	0.36035	0.14437	0.01594	0.09453	0.01629	0.12521	0.01545	0.16415	0.01726	0.86658	0.03411	1.13818	0.03589	0.49130	0.05726	0.92917	0.62416	0.86678	67.00000	0.00000	33.00000	0.00000
625	116.36000	14.67687	5.29000	3.45339	23.69000	7.41579	86.34000	14.12319	1.04000	1.79956	0.09000	0.28618	0.00706	0.00305	0.02117	0.00423	-0.14619	0.00697	0.00234	0.02463	0.00394	-0.12730	-0.00906	0.72497	-0.58070	0.37279	0.02836	0.00499	0.01424	0.00412	0.01879	0.00481	0.03870	0.00612	0.65971	0.10097	1.37241	0.10435	0.33843	0.07228	0.87564	0.49025	0.84579	34.00000	1.00000	62.00000	3.00000
626	237.92000	21.21965	23.57000	6.63514	157.36000	21.01976	56.84000	12.02557	0.15000	0.40927	0.00000	0.00000	0.04126	0.00597	0.01584	0.00447	-0.14101	0.04440	0.00593	0.01606	0.00340	-0.16296	-0.28469	0.31868	-0.08997	0.59641	0.07275	0.00736	0.04420	0.00710	0.06074	0.00752	0.08574	0.00826	0.83381	0.04195	1.17996	0.04559	0.44191	0.05354	0.88561	0.48171	0.83120	13.00000	0.00000	87.00000	0.00000
627	92.44000	13.66186	29.60000	8.11911	53.63000	12.23246	9.21000	4.35728	0.00000	0.00000	0.00000	0.00000	0.01560	0.00477	0.00251	0.00145	0.19169	0.01512	0.00345	0.00260	0.00123	-0.02331	0.08886	0.59958	-0.10184	0.93755	0.04684	0.00933	0.03778	0.00880	0.04073	0.00897	0.05359	0.00949	0.86699	0.05009	1.15081	0.06656	0.67970	0.07787	0.95978	0.33657	0.58222	0.00000	0.00000	100.00000	0.00000
628	126.66000	20.39128	70.43000	19.89736	16.14000	5.59289	40.09000	12.55237	0.00000	0.00000	0.00000	0.00000	0.00468	0.00219	0.01176	0.00487	0.10851	0.00455	0.00158	0.01130	0.00354	0.08614	0.01839	0.78024	0.08702	0.73465	0.08625	0.01888	0.07803	0.01914	0.08036	0.01914	0.09300	0.01918	0.92786	0.03624	1.08223	0.03428	0.82360	0.06509	0.98943	0.57185	0.68121	0.00000	0.00000	100.00000	0.00000
629	304.72000	30.47822	6.00000	5.90593	155.46000	21.42635	122.99000	19.48461	20.27000	10.29452	1.56000	1.23548	0.04732	0.00836	0.04026	0.00843	0.11458	0.04953	0.00707	0.04038	0.00670	0.15845	-0.19399	0.32799	-0.02140	0.45819	0.07806	0.01102	0.03427	0.00907	0.05674	0.01062	0.09973	0.01290	0.72524	0.07083	1.28162	0.07623	0.28553	0.05974	0.82285	0.42442	0.85798	87.00000	13.00000	0.00000	0.00000
630	124.04000	18.45639	54.90000	12.20451	5.72000	2.88472	63.42000	16.68004	0.00000	0.00000	0.00000	0.00000	0.00163	0.00102	0.01809	0.00549	0.07909	0.00161	0.00081	0.01788	0.00470	0.06583	-0.01589	0.93417	0.03135	0.51865	0.07374	0.01208	0.06388	0.01198	0.06741	0.01217	0.08075	0.01283	0.91230	0.03395	1.09673	0.03952	0.76655	0.06190	0.97230	0.41213	0.61059	0.00000	0.00000	100.00000	0.00000
631	293.20000	21.86413	25.14000	8.57207	132.60000	19.14523	134.61000	19.50174	0.85000	1.52561	0.03000	0.17059	0.03690	0.00660	0.03666	0.00675	-0.19139	0.03762	0.00547	0.03818	0.00552	-0.19487	-0.08556	0.38365	-0.17430	0.34601	0.09060	0.00889	0.05382	0.00821	0.07596	0.00904	0.10602	0.01004	0.83753	0.04044	1.17130	0.04004	0.42815	0.04899	0.87969	0.44516	0.81567	41.00000	0.00000	59.00000	0.00000
632	85.66000	14.38626	10.26000	6.30336	45.20000	13.37984	29.30000	8.39107	0.90000	1.70000	0.15000	0.45552	0.01299	0.00480	0.00866	0.00329	0.02082	0.01299	0.00387	0.00851	0.00249	0.05340	-0.05472	0.56935	0.01905	0.68222	0.03032	0.00610	0.01949	0.00595	0.02243	0.00583	0.03856	0.00690	0.73549	0.09361	1.27990	0.08560	0.47843	0.11006	0.88141	0.42554	0.79381	36.00000	0.00000	63.00000	1.00000
633	287.13000	25.59361	21.45000	10.39555	155.25000	19.39813	104.85000	20.24420	5.58000	5.46476	0.57000	0.83970	0.04474	0.00696	0.03152	0.00788	0.18208	0.04533	0.00579	0.03113	0.00645	0.04448	-0.05130	0.37454	0.03881	0.45243	0.09059	0.01139	0.05246	0.01087	0.07332	0.01109	0.10775	0.01320	0.80800	0.05142	1.19115	0.05471	0.41272	0.06633	0.86918	0.47519	0.84576	87.00000	0.00000	13.00000	0.00000
634	215.43000	20.76066	69.50000	10.15628	145.08000	21.02460	0.85000	1.02347	0.00000	0.00000	0.00000	0.00000	0.04046	0.00772	0.00025	0.00033	-0.01829	0.04089	0.00593	0.00024	0.00029	0.00428	-0.05828	0.38350	0.03744	0.65097	0.10686	0.01063	0.08650	0.00985	0.09919	0.01043	0.11548	0.01135	0.92796	0.02133	1.08113	0.02539	0.68603	0.04727	0.93162	0.14908	0.49631	0.00000	0.00000	100.00000	0.00000
635	233.62000	26.28223	0.13000	0.57715	99.66000	16.76796	89.07000	13.85659	44.76000	14.21698	2.77000	1.33308	0.03767	0.00726	0.03587	0.00675	0.60322	0.04071	0.00611	0.03772	0.00561	0.48730	-0.32063	0.36416	-0.21196	0.36315	0.04713	0.00847	0.01036	0.00419	0.02400	0.00599	0.07025	0.01197	0.51029	0.09081	1.49694	0.11487	0.12552	0.04226	0.70317	0.29943	0.87901	6.00000	94.00000	0.00000	0.00000
636	399.16000	31.71584	27.99000	12.19713	188.26000	25.57562	174.52000	24.05306	8.39000	7.06384	0.72000	0.94953	0.05477	0.00945	0.05095	0.00879	-0.01341	0.05543	0.00789	0.05156	0.00722	-0.02507	-0.05568	0.35064	-0.05077	0.38112	0.12434	0.01426	0.07148	0.01353	0.10357	0.01331	0.14455	0.01657	0.83231	0.03666	1.16318	0.03919	0.40815	0.05676	0.89492	0.54500	0.85963	93.00000	0.00000	7.00000	0.00000
637	210.99000	29.29283	0.00000	0.00000	59.28000	12.02587	53.25000	12.61695	98.46000	21.35201	7.04000	2.81752	0.04400	0.00915	0.04221	0.00889	0.79105	0.04446	0.00737	0.04276	0.00729	0.74742	-0.06154	0.35824	-0.06917	0.40526	0.04629	0.00899	0.00318	0.00232	0.00769	0.00482	0.07847	0.01447	0.16569	0.09374	1.70624	0.17020	0.03702	0.02862	0.31752	0.02830	0.94288	0.00000	100.00000	0.00000	0.00000
638	242.13000	24.66603	17.29000	9.42793	109.39000	17.33891	107.84000	20.49132	7.61000	6.79837	0.70000	1.03441	0.03362	0.00789	0.03291	0.00810	0.13913	0.03298	0.00546	0.03254	0.00651	0.11978	0.05544	0.50945	0.02853	0.45736	0.07804	0.01079	0.04477	0.00986	0.06094	0.00976	0.09550	0.01223	0.78099	0.06631	1.22725	0.07387	0.40873	0.07235	0.83275	0.32535	0.79048	89.00000	0.00000	11.00000	0.00000
639	85.89000	15.52475	0.00000	0.00000	21.13000	6.81712	17.14000	6.26102	47.62000	13.74975	6.44000	3.03750	0.01839	0.00513	0.01775	0.00488	0.84850	0.01938	0.00413	0.01825	0.00406	0.81698	-0.23785	0.50317	-0.12162	0.55370	0.01853	0.00491	0.00046	0.00082	0.00012	0.00032	0.03699	0.00900	0.00630	0.01745	2.02322	0.25674	0.01280	0.02168	0.20430	0.10646	0.97633	0.00000	100.00000	0.00000	0.00000
640	185.98000	24.61706	2.24000	2.93298	120.47000	23.03669	37.59000	9.60218	25.68000	15.90904	2.37000	1.57896	0.04012	0.00831	0.02072	0.00930	0.28961	0.04120	0.00685	0.01783	0.00599	0.25989	-0.11970	0.40733	0.51630	0.87734	0.05049	0.00983	0.02007	0.00678	0.02814	0.00789	0.07294	0.01274	0.55754	0.10981	1.45773	0.15202	0.25449	0.07625	0.69350	0.18445	0.82590	59.00000	38.00000	3.00000	0.00000
641	126.81000	14.67153	0.21000	0.66776	77.55000	10.30764	48.04000	9.22271	1.01000	1.24495	0.01000	0.09950	0.01460	0.00179	0.01173	0.00239	0.03577	0.02214	0.00298	0.01383	0.00263	0.12853	-1.37091	0.29355	-0.59468	0.41052	0.01712	0.00212	0.00395	0.00135	0.00850	0.00220	0.02636	0.00317	0.49413	0.09892	1.54751	0.14530	0.13240	0.03981	0.70326	0.42850	0.93949	8.00000	47.00000	6.00000	39.00000
642	80.52000	12.12145	4.71000	2.65441	8.89000	4.08631	66.87000	11.43910	0.05000	0.32787	0.00000	0.00000	0.00252	0.00161	0.01367	0.00219	-0.02421	0.00252	0.00118	0.01886	0.00324	0.00364	-0.09279	0.83947	-1.09932	0.31776	0.01644	0.00356	0.00835	0.00310	0.01062	0.00358	0.02340	0.00427	0.63525	0.10912	1.43761	0.12521	0.33950	0.08040	0.92789	0.65765	0.88413	2.00000	1.00000	95.00000	2.00000
643	105.32000	13.99277	24.64000	8.61571	33.07000	9.25879	47.52000	12.36324	0.09000	0.44933	0.00000	0.00000	0.00952	0.00339	0.01329	0.00457	0.02753	0.00935	0.00264	0.01342	0.00350	-0.03852	0.04296	0.70016	-0.08590	0.58299	0.04681	0.00786	0.03540	0.00801	0.03945	0.00812	0.05503	0.00838	0.83833	0.05624	1.18052	0.06923	0.61159	0.08642	0.93419	0.49174	0.76609	6.00000	0.00000	94.00000	0.00000
644	177.67000	18.13784	60.68000	9.45820	67.32000	13.65348	49.67000	11.40882	0.00000	0.00000	0.00000	0.00000	0.01908	0.00525	0.01393	0.00370	0.06163	0.01898	0.00385	0.01400	0.00322	0.13755	-0.00634	0.49784	-0.02663	0.55513	0.09212	0.00893	0.07562	0.00911	0.08287	0.00886	0.10181	0.00930	0.89927	0.03061	1.10615	0.03069	0.70130	0.05248	0.93310	0.34079	0.65461	0.00000	0.00000	100.00000	0.00000
